Subject,Run,Factor 1,Factor 2
sub-010103,post-ses-02-run-02-acq-AP,0.40579150287386473,0.6092442953693746
sub-010103,post-ses-02-run-02-acq-PA,0.41595460275272367,0.6083231940017086
sub-010105,post-ses-02-run-01-acq-AP,0.7317284732600661,0.41560766469669325
sub-010105,post-ses-02-run-02-acq-AP,0.36263938770351056,0.5262065895015963
sub-010105,post-ses-02-run-02-acq-PA,0.33637746855538475,0.6149125502870407
sub-010106,post-ses-02-run-01-acq-PA,0.4005221150354912,0.8036515238870486
sub-010106,post-ses-02-run-02-acq-PA,0.4841274586710778,0.5961852858323016
sub-010107,post-ses-02-run-01-acq-AP,0.8762920756557502,0.5326387228561767
sub-010107,post-ses-02-run-01-acq-PA,0.8847580080415666,0.48466600718265196
sub-010107,post-ses-02-run-02-acq-AP,0.36969756834420964,0.3324810837781521
sub-010107,post-ses-02-run-02-acq-PA,0.112409175193476,0.48645278217371585
sub-010108,post-ses-02-run-01-acq-AP,0.9045463334596581,0.3735262473644467
sub-010108,post-ses-02-run-01-acq-PA,0.8496169667614197,0.6832969304657415
sub-010108,post-ses-02-run-02-acq-AP,0.7648074163370017,0.8279994966517314
sub-010108,post-ses-02-run-02-acq-PA,0.6790526711452023,0.6844657564563373
sub-010018,post-ses-02-run-01-acq-AP,0.8234111054448021,0.17605645184152996
sub-010018,post-ses-02-run-01-acq-PA,0.6099880047944793,0.1518106506402207
sub-010018,post-ses-02-run-02-acq-AP,0.6526267466822357,0.1692579901119851
sub-010018,post-ses-02-run-02-acq-PA,0.49882182374915063,0.3669963210236936
sub-010111,post-ses-02-run-01-acq-AP,0.6441842573874715,0.37777093142275525
sub-010111,post-ses-02-run-01-acq-PA,0.5835515302364898,0.4426478360093415
sub-010111,post-ses-02-run-02-acq-AP,0.5307508448719374,0.5220694751055049
sub-010111,post-ses-02-run-02-acq-PA,0.6360839781060532,0.33261453486881964
sub-010112,post-ses-02-run-01-acq-AP,0.5252857341780056,0.5933494403844252
sub-010112,post-ses-02-run-01-acq-PA,0.4788130446156166,0.44754221904829594
sub-010112,post-ses-02-run-02-acq-AP,0.41095798967435826,0.5493730769941019
sub-010113,post-ses-02-run-01-acq-AP,0.698619572797524,0.38595812032851484
sub-010113,post-ses-02-run-01-acq-PA,0.6662465982298019,0.39723291982059206
sub-010113,post-ses-02-run-02-acq-AP,0.8293031869691672,0.3588940553584403
sub-010113,post-ses-02-run-02-acq-PA,0.6965780354699885,0.43283429281800034
sub-010115,post-ses-02-run-01-acq-AP,0.6062697120105245,0.5744686689050414
sub-010115,post-ses-02-run-01-acq-PA,0.41461485570910317,0.4577963434717065
sub-010115,post-ses-02-run-02-acq-AP,0.35713157444649063,0.5986329822823689
sub-010115,post-ses-02-run-02-acq-PA,0.7009447067296225,0.4191959975180242
sub-010116,post-ses-02-run-01-acq-AP,0.48410417028752734,0.8792217884839052
sub-010116,post-ses-02-run-01-acq-PA,0.8519189552274862,0.6341693397516899
sub-010116,post-ses-02-run-02-acq-AP,0.872693283824102,0.575560179493823
sub-010116,post-ses-02-run-02-acq-PA,0.7739179745130513,0.5109821290779294
sub-010117,post-ses-02-run-01-acq-AP,0.8285389978686624,0.22167976050235344
sub-010117,post-ses-02-run-01-acq-PA,0.3714716884082968,0.5270825008206119
sub-010117,post-ses-02-run-02-acq-AP,0.283982119668933,0.47688571120948936
sub-010117,post-ses-02-run-02-acq-PA,0.5150263770349961,0.5374678699963469
sub-010118,post-ses-02-run-01-acq-AP,0.8260565312059412,0.4150535498138873
sub-010118,post-ses-02-run-01-acq-PA,0.9003167968139045,0.06515297159105027
sub-010118,post-ses-02-run-02-acq-AP,0.7236734371484538,0.19374562478130936
sub-010118,post-ses-02-run-02-acq-PA,0.777412297993028,0.0168794082597088
sub-010120,post-ses-02-run-01-acq-PA,0.7401896506499749,0.06706584226514135
sub-010120,post-ses-02-run-02-acq-AP,0.9316960965621192,0.06905001021014857
sub-010121,post-ses-02-run-01-acq-AP,0.7857694854596114,0.4037431990147965
sub-010121,post-ses-02-run-01-acq-PA,0.2521608774740963,0.6484510945506406
sub-010121,post-ses-02-run-02-acq-AP,0.5857710102892052,0.4214876463347687
sub-010121,post-ses-02-run-02-acq-PA,0.8215321644074925,0.29784834639807306
sub-010122,post-ses-02-run-01-acq-PA,0.4395566277344204,0.4975734587371642
sub-010122,post-ses-02-run-02-acq-AP,0.6009159518505441,0.5332056542492276
sub-010122,post-ses-02-run-02-acq-PA,0.5767107431683043,0.5799262101067044
sub-010123,post-ses-02-run-01-acq-AP,0.4908283446887281,0.48863173984090763
sub-010123,post-ses-02-run-01-acq-PA,0.4742918032224152,0.5102545924422501
sub-010123,post-ses-02-run-02-acq-AP,0.4703161051484131,0.3827169878972671
sub-010123,post-ses-02-run-02-acq-PA,0.5785295997650483,0.2448233764739749
sub-010124,post-ses-02-run-01-acq-AP,0.6807308748601323,0.2560622922339311
sub-010124,post-ses-02-run-01-acq-PA,0.48912869808364,0.40369593379728724
sub-010124,post-ses-02-run-02-acq-AP,0.7007329443426156,0.4829219062761077
sub-010125,post-ses-02-run-01-acq-AP,0.4579173098721665,0.6142813780366003
sub-010125,post-ses-02-run-01-acq-PA,0.6084326103589354,0.589499706077812
sub-010125,post-ses-02-run-02-acq-AP,0.570963523514806,0.5574334121774481
sub-010125,post-ses-02-run-02-acq-PA,0.0,0.8277561243987654
sub-010126,post-ses-02-run-01-acq-AP,0.6135200250204298,0.41538925636795143
sub-010126,post-ses-02-run-01-acq-PA,0.6029524137721668,0.5538681102483394
sub-010126,post-ses-02-run-02-acq-AP,0.5085174276685147,0.49422017388302497
sub-010126,post-ses-02-run-02-acq-PA,0.6759612295677501,0.5061902056669093
sub-010127,post-ses-02-run-02-acq-PA,0.8551267839382124,0.15878492244447365
sub-010128,post-ses-02-run-02-acq-AP,0.6482142977933267,0.3342872252091166
sub-010129,post-ses-02-run-01-acq-AP,0.20892945414684316,0.32207456454797057
sub-010129,post-ses-02-run-01-acq-PA,0.47173588520633575,0.249000022277846
sub-010129,post-ses-02-run-02-acq-AP,0.4329644667985971,0.4108954254802034
sub-010129,post-ses-02-run-02-acq-PA,0.4263905402179011,0.426951945379237
sub-010130,post-ses-02-run-01-acq-AP,0.09166863952336364,1.0
sub-010130,post-ses-02-run-01-acq-PA,0.11923649388398394,1.0
sub-010130,post-ses-02-run-02-acq-AP,0.24698165284440474,1.0
sub-010131,post-ses-02-run-01-acq-AP,0.41518867390852604,0.32049588875569235
sub-010131,post-ses-02-run-01-acq-PA,0.6347117789462592,0.3078439307975985
sub-010131,post-ses-02-run-02-acq-AP,0.6242229775278999,0.32877372454770837
sub-010131,post-ses-02-run-02-acq-PA,0.6586880197564906,0.3042882667430767
sub-010132,post-ses-02-run-01-acq-AP,0.9473519303338398,0.17660157011752425
sub-010132,post-ses-02-run-01-acq-PA,0.8591993973181069,0.1943329605908239
sub-010132,post-ses-02-run-02-acq-AP,0.8551360076183456,0.2192158850846495
sub-010132,post-ses-02-run-02-acq-PA,0.9197969702443992,0.0
sub-010135,post-ses-02-run-01-acq-PA,0.7062555968741182,0.21848818566733583
sub-010135,post-ses-02-run-02-acq-AP,0.7823981185763735,0.15530134709012952
sub-010135,post-ses-02-run-02-acq-PA,0.9401207942758962,0.07771427090716228
sub-010136,post-ses-02-run-01-acq-AP,0.6304683044021372,0.4357112347616386
sub-010136,post-ses-02-run-01-acq-PA,0.5786831069052022,0.49712710530592424
sub-010136,post-ses-02-run-02-acq-AP,0.692498098033482,0.5246394361460403
sub-010136,post-ses-02-run-02-acq-PA,0.7026348223644003,0.38456658068004174
sub-010137,post-ses-02-run-01-acq-AP,0.8460794450378649,0.42143795675441637
sub-010137,post-ses-02-run-01-acq-PA,0.7595691820855877,0.35006206821963337
